"File","Keys","Missing","Extra","IdenticalToEnglish","IdenticalList","Lines"
"ar.ts","128","0","0","2","bankName; cvv","148"
"az.ts","128","0","0","2","bankName; cvv","146"
"bg.ts","128","0","0","2","bankName; cvv","146"
"bs.ts","128","0","0","4","bankName; cvv; espressoHouse; transport","162"
"cnr.ts","128","0","0","4","bankName; cvv; espressoHouse; transport","147"
"cs.ts","128","0","0","3","bankName; cvv; espressoHouse","145"
"da.ts","128","0","0","9","bankName; cvv; dashboard; espressoHouse; send; slCardTopUp; support; transport; version","147"
"de.ts","128","0","0","7","bankName; cvv; dashboard; espressoHouse; support; transport; version","163"
"el.ts","128","0","0","3","bankName; cvv; espressoHouse","159"
"es.ts","128","0","0","4","bankName; cvv; error; espressoHouse","162"
"et.ts","128","0","0","4","bankName; cvv; espressoHouse; transport","146"
"fa.ts","128","0","0","2","bankName; cvv","148"
"fi.ts","128","0","0","3","bankName; cvv; espressoHouse","147"
"fr.ts","128","0","0","9","bankName; cvv; espressoHouse; notification; notifications; services; support; transport; version","162"
"ha.ts","128","0","0","3","bankName; cvv; dashboard","146"
"hi.ts","128","0","0","1","bankName","149"
"hr.ts","128","0","0","4","bankName; cvv; espressoHouse; slCardTopUp","147"
"hu.ts","128","0","0","3","bankName; cvv; espressoHouse","146"
"it.ts","128","0","0","6","account; bankName; cvv; dashboard; espressoHouse; home","157"
"kk.ts","128","0","0","3","bankName; cvv; espressoHouse","147"
"lv.ts","128","0","0","3","bankName; cvv; espressoHouse","147"
"mk.ts","128","0","0","3","bankName; cvv; espressoHouse","146"
"ms.ts","128","0","0","3","bankName; cvv; espressoHouse","146"
"nl.ts","128","0","0","6","account; bankName; cvv; dashboard; espressoHouse; home","161"
"no.ts","128","0","0","6","bankName; cvv; dashboard; espressoHouse; send; transport","146"
"pl.ts","128","0","0","4","bankName; cvv; espressoHouse; transport","146"
"pt.ts","128","0","0","3","bankName; cvv; espressoHouse","149"
"ro.ts","128","0","0","4","bankName; cvv; espressoHouse; transport","147"
"rom.ts","128","0","0","3","bankName; cvv; expires","147"
"ru.ts","128","0","0","3","bankName; cvv; espressoHouse","149"
"sk.ts","128","0","0","3","bankName; cvv; espressoHouse","160"
"sl.ts","128","0","0","3","bankName; cvv; espressoHouse","148"
"sr.ts","128","0","0","3","bankName; cvv; espressoHouse","164"
"sv.ts","128","0","0","6","bankName; cvv; espressoHouse; support; transport; version","163"
"sw.ts","128","0","0","2","bankName; cvv","147"
"tk.ts","128","0","0","3","bankName; cvv; transport","147"
"tr.ts","128","0","0","3","bankName; cvv; espressoHouse","148"
"ur.ts","128","0","0","2","bankName; cvv","146"
"uz.ts","128","0","0","4","bankName; cvv; espressoHouse; transport","146"
"zh.ts","128","0","0","3","bankName; cvv; espressoHouse","148"
